date, min, max, pm25, q1, q3, stdev, count
2020/04/02, 0, 2.9, 0.79, 0.56, 1.06, 0.462, 404
2020/04/03, 0.1, 3.15, 0.62, 0.35, 0.97, 0.567, 415
2020/04/04, 0.13, 7.25, 1.48, 0.68, 2.12, 1.349, 442
2020/04/05, 5.53, 21.03, 12.01, 10.41, 14.29, 2.959, 452
2020/04/06, 0.3, 19.12, 1.46, 0.95, 5.16, 5.498, 434
2020/04/07, 1.34, 14.08, 3.04, 2.46, 3.75, 1.167, 388
2020/04/08, 0.1, 4.53, 2.13, 1.65, 2.88, 0.946, 407
2020/04/09, 1.32, 4.28, 2.48, 1.97, 2.9, 0.625, 409
2020/04/10, 3.06, 22.32, 13.68, 6.92, 17.38, 5.526, 439
2020/04/11, 0, 22.7, 0.2, 0.15, 20.98, 9.778, 130
2020/04/12, 0, 4.55, 1.94, 1.44, 2.41, 0.782, 476
2020/04/13, 0.88, 4.78, 1.72, 1.44, 2, 0.54, 474
2020/04/14, 1.3, 7.62, 2.08, 1.82, 2.42, 0.792, 304
2020/04/15, 1.4, 7.15, 2.24, 1.83, 2.69, 0.811, 208
2020/04/16, 0.6, 3.76, 1.55, 1.18, 1.91, 0.602, 431
2020/04/17, 0.3, 8.51, 1.51, 0.8, 2.56, 1.619, 466
2020/04/18, 0.5, 19.07, 1.54, 1.14, 1.98, 1.601, 478
2020/04/19, 0.3, 12.61, 1.84, 1.02, 2.29, 1.386, 465
2020/04/20, 0.43, 3.53, 1.02, 0.75, 1.5, 0.57, 429
2020/04/21, 0.5, 11.27, 1.58, 1.03, 3.9, 2.123, 334
2020/04/22, 0.75, 7.04, 2.82, 1.3, 4.34, 1.675, 355
2020/04/23, 0.8, 6.43, 2, 1.67, 2.92, 1.096, 397
2020/04/24, 0.8, 9.03, 3.62, 1.62, 4.84, 1.82, 450
2020/04/25, 3.08, 15.95, 7.79, 4.75, 10.26, 3.219, 419
2020/04/26, 0, 19.12, 2.71, 1.02, 12.84, 6.054, 456
2020/04/27, 0.02, 3.27, 0.7, 0.3, 1.01, 0.525, 440
2020/04/28, 0.46, 3.05, 1.19, 0.94, 1.55, 0.471, 333
