date, min, max, pm25, q1, q3, stdev, count
2020/12/24, 0, 2.15, 0.56, 0.3, 0.82, 0.383, 262
2020/12/25, 0.1, 23.7, 0.94, 0.3, 2.2, 2.556, 280
2020/12/26, 0.1, 3.3, 0.75, 0.55, 1.12, 0.524, 269
2020/12/27, 0, 43.83, 0.6, 0.25, 2.25, 3.488, 278
2020/12/28, 0.3, 53.22, 2.33, 1.57, 5.35, 6.491, 265
2020/12/29, 0.1, 2.88, 0.6, 0.4, 1.1, 0.534, 272
2020/12/30, 0.1, 4.9, 0.6, 0.4, 1.02, 0.882, 274
2020/12/31, 0, 22.13, 1.05, 0.7, 1.58, 1.589, 286
2021/01/01, 0.1, 2.92, 0.6, 0.43, 0.82, 0.438, 276
2021/01/02, 0, 2.9, 0.3, 0.1, 0.7, 0.494, 252
2021/01/03, 0, 5.53, 0.81, 0.4, 1.67, 1.11, 260
2021/01/04, 0.22, 5.13, 1.33, 0.85, 2.08, 0.916, 253
2021/01/05, 0.15, 18.92, 1.08, 0.6, 2.47, 3.349, 246
2021/01/06, 0.17, 44.38, 1.82, 1, 3.74, 4.819, 252
2021/01/07, 0.1, 4.8, 0.65, 0.43, 0.93, 0.574, 251
2021/01/08, 0.1, 2.6, 0.6, 0.4, 0.8, 0.381, 261
2021/01/09, 0, 2.45, 0.39, 0.2, 0.68, 0.418, 260
2021/01/10, 0.1, 52.13, 1.02, 0.72, 1.55, 3.797, 256
2021/01/11, 0, 5.15, 0.3, 0, 0.7, 0.71, 240
2021/01/12, 0.3, 11.68, 0.9, 0.65, 1.35, 1.37, 245
2021/01/13, 0.1, 15.88, 1, 0.45, 2.75, 2.745, 249
2021/01/14, 0.13, 12.15, 1.38, 0.99, 1.88, 1.161, 240
2021/01/15, 0.1, 10.63, 1.2, 0.8, 2.52, 2.076, 255
2021/01/16, 0.22, 12.1, 2.2, 1.33, 5.43, 3.096, 231
2021/01/17, 0, 6.57, 1.04, 0.7, 1.49, 0.91, 228
2021/01/18, 0, 3.67, 0.56, 0.3, 0.95, 0.569, 218
2021/01/19, 0.2, 24.08, 1.38, 0.55, 6.25, 4.547, 196
2021/01/20, 0.5, 18.82, 3.08, 1.9, 6.95, 3.963, 239
2021/01/21, 0, 3.35, 0.6, 0.17, 1.14, 0.644, 222
2021/01/22, 0, 3.72, 0.7, 0.4, 1.09, 0.598, 232
2021/01/23, 0.1, 6.93, 0.5, 0.4, 1, 0.856, 235
2021/01/24, 0.2, 0.98, 0.45, 0.32, 0.56, 0.181, 31
2021/01/25, 0.1, 5.63, 0.59, 0.32, 1.14, 0.999, 154
2021/01/26, 0.1, 26.27, 1.14, 0.55, 3.3, 3.047, 250
2021/01/27, 0.3, 61.3, 3.51, 1.44, 8.19, 7.344, 228
2021/01/28, 0.1, 4.07, 0.68, 0.47, 0.95, 0.468, 261
2021/01/29, 0.28, 19.42, 1.05, 0.75, 1.58, 2.277, 255
2021/01/30, 0.4, 19.07, 1.3, 1, 2.17, 2.546, 246
2021/01/31, 0.3, 33.79, 1.98, 0.85, 4.18, 4.927, 252
2021/02/01, 0.2, 14.9, 2.1, 0.73, 3.8, 2.192, 215
2021/02/02, 0.08, 4.93, 1.12, 0.5, 2.08, 1.206, 227
2021/02/03, 0.4, 5.68, 1.67, 1.4, 2.04, 0.717, 219
2021/02/04, 0.75, 4.75, 2.33, 1.9, 2.92, 0.749, 242
2021/02/05, 1.08, 6.38, 2.91, 2.45, 3.42, 0.859, 214
2021/02/06, 1.35, 6.7, 3.32, 2.74, 4.29, 1.09, 224
2021/02/07, 0.7, 2.7, 1.65, 1.33, 2.35, 0.545, 19
2021/02/13, 1.25, 5.28, 2.35, 1.9, 2.78, 0.735, 79
2021/02/14, 2.45, 20.17, 6.6, 5.15, 9.15, 4.109, 222
2021/02/15, 1.08, 19.38, 7.19, 4, 9.57, 3.992, 226
2021/02/16, 0.6, 16.39, 2.54, 1.2, 7.94, 4.003, 213
2021/02/17, 0.52, 7.03, 2.42, 1.65, 3.35, 1.228, 218
2021/02/18, 0, 12.98, 1.35, 0.4, 5.59, 3.061, 244
2021/02/19, 0, 9.85, 3.55, 1.48, 4.97, 2.181, 215
2021/02/20, 0.7, 14.2, 4.23, 2.17, 8.55, 3.518, 226
2021/02/21, 0.4, 7.15, 1.73, 1.35, 2.2, 0.853, 233
2021/02/22, 0.4, 19.75, 1.45, 1.12, 1.82, 1.585, 200
2021/02/23, 0.47, 7.63, 2.31, 1.3, 4.59, 1.904, 210
2021/02/24, 0.32, 5.32, 1.48, 1.14, 1.92, 0.734, 217
2021/02/25, 0.2, 5.15, 1.1, 0.77, 1.77, 0.9, 218
2021/02/26, 0.2, 14.48, 0.89, 0.55, 3.58, 2.461, 210
2021/02/27, 0.1, 5.85, 0.7, 0.4, 1.13, 1.17, 232
2021/02/28, 0.4, 15.48, 1.7, 0.95, 3.06, 2.099, 237
2021/03/01, 0.9, 17.02, 4.78, 3.03, 7.97, 3.57, 219
2021/03/02, 0.08, 14.75, 3.24, 1.4, 11.32, 4.976, 230
2021/03/03, 0.4, 14.98, 3.15, 2.04, 10.25, 4.196, 213
2021/03/04, 0.1, 6.7, 1.09, 0.63, 1.9, 0.898, 214
2021/03/05, 0.2, 5.68, 0.7, 0.4, 2.52, 1.506, 232
2021/03/06, 1.12, 13.1, 3.57, 2.17, 5.13, 2.072, 226
2021/03/07, 1.4, 14.57, 3.72, 2.7, 5.5, 2.495, 246
2021/03/08, 0.1, 10.07, 1.88, 0.9, 3.83, 1.826, 227
2021/03/09, 0.85, 16.64, 3.12, 2.2, 5.15, 3.174, 232
2021/03/10, 0.2, 9.48, 2, 1.14, 3.03, 1.567, 219
2021/03/11, 0, 4.05, 0.5, 0.28, 1.09, 0.736, 221
2021/03/12, 0, 2.33, 0.32, 0.2, 0.6, 0.366, 229
2021/03/13, 0.1, 6.47, 0.63, 0.44, 1.12, 0.849, 232
2021/03/14, 0.05, 2.75, 0.9, 0.52, 1.25, 0.495, 226
2021/03/15, 0.1, 7.97, 0.88, 0.55, 1.36, 1.289, 205
2021/03/16, 0.1, 7, 3.39, 1.92, 4.38, 1.503, 210
2021/03/17, 1.42, 7.82, 3.45, 2.97, 4.13, 0.995, 235
2021/03/18, 0.1, 3.83, 0.47, 0.3, 1, 0.716, 218
2021/03/19, 0, 3.47, 0.3, 0.1, 0.56, 0.63, 206
2021/03/20, 0.3, 6.7, 1.76, 0.7, 3.14, 1.509, 200
2021/03/21, 0.1, 7.7, 1.1, 0.49, 2.29, 1.313, 189
2021/03/22, 0.1, 46.78, 1.09, 0.77, 1.6, 4.228, 210
2021/03/23, 0.2, 9.98, 1, 0.6, 2, 1.718, 269
2021/03/24, 0, 4.7, 0.95, 0.52, 1.5, 0.78, 164
2021/03/25, 0.17, 2.78, 1, 0.7, 1.38, 0.495, 194
2021/03/26, 0, 4.43, 1, 0.2, 1.95, 1.105, 155
2021/03/27, 0, 4.93, 0.6, 0.3, 1.72, 1.016, 125
2021/03/28, 0, 34.28, 1.27, 0.7, 1.95, 3.382, 103
2021/03/29, 0, 1.42, 0.1, 0, 0.3, 0.336, 172
2021/03/30, 0.68, 3.2, 1.3, 1.02, 1.58, 0.446, 191
2021/03/31, 0.2, 11.25, 1.58, 1, 2.08, 1.356, 172
2021/04/01, 0.3, 20.23, 0.82, 0.6, 1.25, 2.823, 157
2021/04/02, 0.55, 7.13, 1.8, 1.26, 2.29, 1.4, 180
2021/04/03, 1.05, 12.9, 4, 2.54, 5.37, 2.004, 184
2021/04/04, 0.1, 8.75, 1.95, 1.27, 3.84, 1.777, 172
2021/04/05, 0.32, 3.22, 1.1, 0.85, 1.66, 0.622, 121
2021/04/06, 0.56, 3.17, 1.4, 1.1, 1.74, 0.502, 205
2021/04/07, 0.2, 6.22, 0.9, 0.7, 1.23, 0.732, 144
2021/04/08, 0, 2.2, 0.5, 0.3, 0.75, 0.422, 164
2021/04/09, 0.03, 2.33, 0.5, 0.28, 0.72, 0.371, 165
2021/04/10, 0.2, 4.32, 0.6, 0.47, 0.8, 0.426, 152
2021/04/11, 0.3, 1.65, 0.6, 0.5, 0.85, 0.299, 88
2021/04/12, 0, 1.17, 0.38, 0.2, 0.55, 0.235, 75
2021/04/13, 0.17, 1.4, 0.47, 0.38, 0.59, 0.236, 104
2021/04/14, 0.3, 2, 0.76, 0.6, 1.05, 0.367, 114
2021/04/15, 0.1, 2.17, 0.55, 0.32, 0.98, 0.436, 97
2021/04/16, 0.4, 6.4, 2.4, 0.82, 3.9, 1.775, 115
2021/04/17, 2.15, 17.57, 3.75, 2.98, 4.8, 3.978, 133
2021/04/18, 1.63, 11.35, 4.15, 2.46, 7.99, 3.013, 121
2021/04/19, 1.17, 6.22, 3.37, 2.25, 4.63, 1.44, 118
2021/04/20, 0.3, 7.5, 1.6, 0.77, 5.95, 2.527, 109
2021/04/21, 0.63, 4.45, 1.95, 1.47, 2.4, 0.713, 112
2021/04/22, 0.7, 8.68, 2.14, 1.48, 2.83, 1.132, 106
2021/04/23, 0.98, 25.63, 2.35, 1.94, 2.69, 2.435, 101
2021/04/24, 0.9, 8.75, 3.48, 1.88, 5.53, 2.219, 118
2021/04/25, 1.2, 4.75, 2.83, 2.2, 3.85, 0.908, 139
2021/04/26, 0.43, 54.83, 3.13, 1.33, 4, 5.358, 123
2021/04/27, 0.65, 10.1, 2.22, 1.4, 3.2, 1.715, 117
2021/04/28, 0.2, 3.78, 0.8, 0.6, 1.33, 0.762, 115
2021/04/29, 0.17, 61.38, 1.05, 0.6, 1.78, 5.86, 108
2021/04/30, 0.2, 2.97, 0.77, 0.5, 1, 0.497, 97
2021/05/01, 0.2, 2.97, 0.7, 0.5, 0.92, 0.443, 124
2021/05/02, 0.4, 4.72, 1, 0.8, 1.42, 0.629, 121
2021/05/03, 0.6, 6.1, 1.55, 1.13, 2.14, 1.012, 112
2021/05/04, 0.63, 5, 1.5, 1.23, 1.89, 0.709, 109
2021/05/05, 0.38, 3.83, 0.93, 0.7, 1.23, 0.508, 116
2021/05/06, 0.05, 3.6, 0.79, 0.47, 1.54, 0.854, 104
2021/05/07, 0.3, 3.97, 0.94, 0.5, 1.48, 0.816, 110
2021/05/08, 0.55, 29.45, 3.53, 2.29, 7, 6.927, 111
2021/05/09, 0.88, 31.58, 2.72, 1.7, 8.18, 4.864, 131
2021/05/10, 0.3, 6.35, 1.98, 1.21, 3.53, 1.505, 121
2021/05/11, 0.1, 4.3, 1.94, 1.19, 2.64, 0.949, 112
2021/05/12, 3.3, 19.52, 7.43, 4.82, 14.2, 4.894, 107
2021/05/13, 1.5, 16.75, 5.05, 2.72, 9.57, 3.995, 127
2021/05/14, 0.1, 3.72, 0.9, 0.3, 1.53, 0.745, 116
2021/05/15, 0.55, 4.63, 1.67, 1.3, 2.15, 0.724, 131
2021/05/16, 1.9, 7.75, 2.9, 2.5, 3.41, 1.01, 132
2021/05/17, 0.9, 11.1, 3.53, 2.2, 5.82, 2.669, 120
2021/05/18, 0.1, 4.09, 0.56, 0.3, 2.6, 1.256, 102
2021/05/19, 0.43, 4.34, 1.27, 0.93, 1.98, 0.718, 131
2021/05/20, 0.68, 7.82, 1.3, 1.05, 2.57, 1.622, 136
2021/05/21, 0.5, 6.57, 1.7, 1.13, 3.71, 1.467, 128
2021/05/22, 0.1, 2.67, 0.4, 0.3, 0.65, 0.349, 110
2021/05/23, 0.25, 5.15, 0.9, 0.5, 2.66, 1.198, 145
2021/05/24, 0, 15.23, 0.9, 0.32, 2.9, 2.677, 131
2021/05/25, 0.82, 7.3, 2.25, 1.54, 3.38, 1.297, 144
2021/05/26, 0.45, 5.09, 1.83, 1.33, 2.75, 1.196, 144
2021/05/27, 0.5, 4.07, 1.88, 1.2, 2.63, 0.922, 133
2021/05/28, 2.9, 12.77, 6.77, 5.32, 8.77, 2.294, 140
2021/05/29, 2.97, 26.7, 7.4, 4.22, 10, 4.573, 122
2021/05/30, 2.5, 14.02, 5.77, 4.59, 7.35, 1.919, 146
2021/05/31, 2.7, 21.15, 5.04, 3.97, 7.32, 3.436, 122
2021/06/01, 2.83, 11.27, 6.14, 4.65, 8.07, 2.111, 150
2021/06/02, 3.3, 20.75, 10.54, 6.47, 11.8, 3.679, 126
2021/06/03, 1.3, 10.38, 4.71, 2.58, 6, 2.13, 134
2021/06/04, 0.4, 13.6, 0.97, 0.74, 1.38, 3.884, 136
2021/06/05, 0.4, 2.4, 0.9, 0.67, 1.12, 0.349, 140
2021/06/06, 0.1, 2.2, 0.7, 0.5, 0.85, 0.304, 164
2021/06/07, 1.17, 22.55, 3.8, 2.74, 7.31, 4.115, 269
2021/06/08, 0.2, 21.45, 1.25, 0.7, 6.08, 5.514, 201
2021/06/09, 0.4, 3.38, 1.2, 0.9, 1.63, 0.533, 221
2021/06/10, 0.4, 8.02, 2.7, 0.81, 4.38, 1.835, 157
2021/06/11, 0.15, 4.45, 1.1, 0.56, 1.95, 0.926, 160
2021/06/12, 1.1, 5.15, 2.52, 2.17, 2.84, 0.62, 145
2021/06/13, 0.2, 3.28, 0.82, 0.52, 1.23, 0.575, 145
2021/06/14, 0, 6.3, 0.32, 0.15, 0.82, 1.527, 171
2021/06/15, 0.75, 8.94, 4.22, 2.94, 5.47, 1.753, 173
2021/06/16, 0, 2.85, 1, 0.7, 1.48, 0.618, 150
2021/06/17, 0.38, 2.75, 1.1, 0.9, 1.39, 0.393, 208
2021/06/18, 0.3, 8.93, 1.42, 0.55, 3.21, 1.836, 212
2021/06/19, 2.13, 10.35, 5.15, 3.92, 7.5, 1.971, 234
2021/06/20, 1.7, 6.05, 3.83, 3.17, 4.59, 0.908, 256
2021/06/21, 0.28, 6.3, 1.55, 1.12, 2.42, 1.331, 233
2021/06/22, 0.95, 6.8, 2.25, 1.9, 2.78, 1.078, 199
2021/06/23, 0.22, 5.3, 1.6, 0.88, 3.47, 1.504, 245
2021/06/24, 0.1, 3.78, 0.9, 0.42, 1.47, 0.761, 221
2021/06/25, 0.3, 5, 2.08, 1.08, 2.72, 1.025, 253
2021/06/26, 1.1, 4.09, 2.15, 1.88, 2.47, 0.534, 260
2021/06/27, 0.52, 5.78, 2.5, 1.4, 3.58, 1.237, 262
2021/06/28, 1.25, 8.02, 3.17, 2.4, 5.7, 1.809, 247
2021/06/29, 1.2, 11.15, 5.42, 3.1, 7.89, 2.797, 268
2021/06/30, 0.22, 4.57, 2.29, 1.12, 2.76, 0.993, 256
2021/07/01, 1.27, 10.45, 2.47, 2.1, 2.7, 0.767, 227
2021/07/02, 2.1, 7.3, 3.8, 2.9, 4.59, 1.089, 217
2021/07/03, 4.84, 20.55, 9.05, 7.1, 11.55, 3.01, 279
2021/07/04, 1.83, 74.4, 8.89, 7.07, 13.32, 7.247, 274
2021/07/05, 3.42, 34.4, 16.7, 9.25, 20.48, 6.522, 223
2021/07/06, 1.5, 11.25, 3.24, 2.5, 4.63, 1.992, 262
2021/07/07, 0.4, 62.13, 2.47, 1.37, 3.71, 4.586, 232
2021/07/08, 1, 4.75, 2.27, 1.82, 3.07, 0.869, 245
2021/07/09, 0.3, 42.33, 7.03, 4.95, 9.32, 3.986, 279
2021/07/10, 2.4, 70.68, 11.63, 4.92, 15.35, 7.385, 277
2021/07/11, 5.75, 25.73, 14.38, 10.1, 18.25, 4.843, 302
2021/07/12, 1.58, 17.45, 5.53, 3.15, 11.39, 4.42, 228
2021/07/13, 1.35, 20.13, 2.96, 2.2, 4.28, 1.853, 210
2021/07/14, 0.1, 37.75, 2.22, 1.4, 3.78, 2.936, 223
2021/07/15, 0.2, 7.53, 1.5, 1.23, 2.04, 0.677, 254
2021/07/16, 0.2, 3.55, 0.88, 0.55, 2.1, 0.914, 238
2021/07/17, 0.1, 1.98, 0.7, 0.5, 0.9, 0.308, 273
2021/07/18, 0.15, 6.2, 2, 1.2, 2.9, 1.164, 243
2021/07/19, 2.4, 9.6, 4.4, 3.62, 5.71, 1.44, 213
2021/07/20, 0.93, 11.45, 4.38, 2.29, 6.57, 2.499, 226
2021/07/21, 1.14, 13.52, 5.88, 4.38, 8.02, 2.985, 253
2021/07/22, 2.02, 19.39, 7.1, 5.57, 10.43, 4.334, 210
2021/07/23, 2.4, 19.89, 5.15, 3.91, 7.08, 4.512, 252
2021/07/24, 1.25, 6.75, 2.59, 1.9, 4.75, 1.5, 250
2021/07/25, 2.67, 11.18, 6.88, 5.54, 7.87, 1.837, 276
2021/07/26, 4.22, 12.65, 6.5, 5.7, 7.55, 1.669, 279
2021/07/27, 5.85, 23.05, 13.1, 9.23, 15.86, 4.037, 288
2021/07/28, 1.14, 33.63, 4.43, 2.6, 7.3, 6.323, 291
2021/07/29, 0.1, 13.75, 1.85, 0.6, 4.24, 3.839, 260
2021/07/30, 0.5, 4.59, 1.73, 1.45, 2.15, 0.698, 214
2021/07/31, 0.1, 6.45, 0.88, 0.4, 2.4, 1.549, 227
2021/08/01, 0.1, 1.83, 0.55, 0.38, 0.85, 0.327, 215
2021/08/02, 0.38, 1.8, 1, 0.82, 1.2, 0.275, 213
2021/08/03, 0.6, 3.7, 1.7, 1.3, 2.08, 0.685, 225
2021/08/04, 0.77, 6.45, 2.65, 1.5, 3.49, 1.321, 197
2021/08/05, 2.85, 17.42, 4.82, 3.96, 6.42, 3.316, 220
2021/08/06, 3.92, 24.02, 10.05, 8.19, 11.28, 3.705, 269
2021/08/07, 1.4, 235.57, 4.3, 2.58, 8.05, 20.737, 272
2021/08/08, 0.77, 10.1, 2.13, 1.5, 3.45, 2.122, 247
2021/08/09, 0.1, 6.7, 0.75, 0.6, 1, 0.839, 199
2021/08/10, 0.6, 999.9, 4.76, 3.09, 5.78, 64.31, 256
2021/08/11, 0.3, 999.9, 3.75, 1.95, 4.47, 206.033, 201
2021/08/12, 0.4, 3.95, 1.25, 1.02, 1.6, 0.484, 246
2021/08/13, 0.28, 3.35, 1.02, 0.7, 1.73, 0.681, 445
2021/08/14, 0.3, 4.43, 1.45, 0.9, 1.95, 0.685, 374
2021/08/15, 0.4, 9.6, 1.98, 1.35, 2.89, 1.198, 389
2021/08/16, 0.25, 5.55, 1.33, 0.9, 1.79, 1.049, 437
2021/08/17, 0, 6.05, 1.7, 0.5, 3.49, 1.732, 453
2021/08/18, 0.5, 230.68, 2.5, 1.94, 4.98, 11.934, 384
2021/08/19, 0.2, 7.13, 1.02, 0.8, 2, 0.889, 455
2021/08/20, 0.73, 9.4, 2.35, 1.73, 3.03, 1.62, 430
2021/08/21, 0.5, 44.8, 7.07, 2.67, 19.13, 11.399, 455
2021/08/22, 1.98, 28.2, 7.92, 4.5, 13.31, 5.939, 428
2021/08/23, 1.3, 40.54, 4, 3.1, 6.47, 4.013, 459
2021/08/24, 1.7, 14.98, 4.2, 2.42, 8.76, 3.379, 413
2021/08/25, 0.2, 8.75, 3.1, 1.92, 4.25, 1.737, 439
2021/08/26, 0.9, 37.5, 3.5, 3.13, 3.88, 2.001, 325
2021/08/27, 0.75, 83.72, 2.9, 2.29, 3.5, 4.434, 344
2021/08/28, 0.5, 6.18, 3.92, 2.6, 4.59, 1.46, 318
2021/08/29, 0.1, 999.9, 1.08, 0.5, 2.42, 263.396, 339
2021/08/30, 0, 999.9, 2.04, 1.27, 5.05, 293.237, 439
2021/08/31, 0.4, 7.72, 2.5, 1.49, 3.69, 1.486, 449
2021/09/01, 1.8, 19.1, 3.97, 2.9, 9.39, 4.556, 440
2021/09/02, 8.52, 19.17, 12.2, 10.8, 13.12, 1.76, 429
2021/09/03, 1, 14.2, 4.43, 3.44, 6.25, 2.79, 456
2021/09/04, 0.1, 10.25, 1, 0.45, 2.5, 1.515, 458
2021/09/05, 1.8, 10.45, 6.35, 3.2, 7.68, 2.361, 398
2021/09/06, 0.43, 24.7, 3.7, 1.1, 14.55, 7.578, 402
2021/09/07, 0, 6.55, 0.4, 0.1, 1.44, 0.972, 380
2021/09/08, 1.25, 39.58, 3.96, 3.05, 14.23, 10.874, 474
2021/09/09, 19.85, 29.83, 26.02, 23.85, 27.2, 2.241, 54
2021/09/24, 0, 1.95, 0.4, 0.2, 1, 0.48, 156
2021/09/25, 0.15, 109.07, 0.6, 0.4, 0.93, 5.046, 464
2021/09/26, 0, 7.43, 0.63, 0.3, 1.38, 0.823, 459
2021/09/27, 0, 26.17, 0.35, 0.22, 0.5, 1.615, 391
2021/09/28, 0.1, 21.98, 0.55, 0.35, 0.8, 1.187, 467
2021/09/29, 0, 2.45, 0.56, 0.3, 0.95, 0.461, 448
2021/09/30, 0, 3.38, 0.7, 0.4, 1.02, 0.543, 457
2021/10/01, 0.05, 6.2, 0.6, 0.4, 0.95, 0.596, 425
2021/10/02, 0.1, 6.32, 0.65, 0.4, 1.1, 0.801, 453
2021/10/03, 0.08, 3.25, 0.4, 0.28, 0.6, 0.388, 460
2021/10/04, 0.1, 11.1, 1, 0.52, 1.5, 1.126, 465
2021/10/05, 0, 6.28, 0.75, 0.31, 1.2, 1.259, 472
2021/10/06, 0, 10.77, 0.2, 0.1, 0.4, 0.941, 472
2021/10/07, 0, 13.15, 0.3, 0.1, 0.6, 1.119, 471
2021/10/08, 0, 10.4, 1.2, 0.43, 1.58, 0.794, 466
2021/10/09, 0.1, 11.07, 1.42, 0.63, 7.38, 3.566, 456
2021/10/10, 0.3, 6.2, 1.67, 1.33, 2.1, 0.734, 466
2021/10/11, 0.4, 3.78, 1.4, 1.12, 1.72, 0.499, 465
2021/10/12, 0.08, 5.15, 0.85, 0.4, 1.7, 1.185, 470
2021/10/13, 0.1, 3.25, 0.8, 0.5, 1.12, 0.44, 462
2021/10/14, 0.1, 9.48, 2.4, 0.7, 5.21, 2.539, 461
2021/10/15, 0.15, 10.05, 0.65, 0.45, 0.9, 0.75, 465
2021/10/16, 0.1, 17.5, 1.14, 0.7, 2.02, 1.482, 471
2021/10/17, 0.08, 31.83, 8.69, 1.97, 14.08, 7.376, 469
2021/10/18, 0.05, 19.25, 0.92, 0.32, 4.4, 2.78, 456
2021/10/19, 0, 3.33, 0.7, 0.4, 1.02, 0.538, 474
2021/10/20, 0.1, 4.07, 1.25, 0.88, 1.6, 0.606, 459
2021/10/21, 0.1, 5.43, 1.1, 0.6, 1.65, 0.755, 467
2021/10/22, 0.2, 3.42, 0.65, 0.4, 1, 0.485, 467
2021/10/23, 0.1, 3.05, 0.9, 0.35, 1.38, 0.611, 466
2021/10/24, 0, 5.03, 0.6, 0.17, 1.38, 0.791, 467
2021/10/25, 0, 2.83, 0.9, 0.63, 1.2, 0.428, 467
2021/10/26, 0, 11.43, 1.27, 0.79, 2.35, 1.271, 468
2021/10/27, 0, 5.97, 0.4, 0.2, 0.6, 0.657, 449
2021/10/28, 0, 20.73, 1.17, 0.4, 3.47, 3.174, 447
2021/10/29, 0.1, 4.32, 1.2, 0.7, 1.75, 0.774, 457
2021/10/30, 0.1, 4.75, 0.88, 0.42, 1.48, 0.789, 473
2021/10/31, 0.1, 22.95, 0.89, 0.5, 1.4, 1.616, 446
2021/11/01, 0.1, 6.28, 0.4, 0.3, 0.6, 0.438, 439
2021/11/02, 0.1, 5.3, 0.6, 0.4, 0.8, 0.415, 424
2021/11/03, 0, 1.67, 0.22, 0.17, 0.4, 0.213, 434
2021/11/04, 0, 14.35, 0.3, 0.2, 0.6, 1.259, 467
2021/11/05, 0.1, 19.67, 0.4, 0.3, 0.73, 1.92, 465
2021/11/06, 0, 5.63, 0.9, 0.5, 2.41, 1.206, 464
2021/11/07, 0.82, 10.7, 2.04, 1.7, 2.88, 1.1, 453
2021/11/08, 0.1, 5.09, 1.38, 0.6, 1.83, 0.869, 387
2021/11/09, 0, 10.88, 1, 0.1, 1.7, 1.051, 447
2021/11/10, 0.3, 8.27, 1.67, 1.3, 2.08, 0.893, 455
2021/11/11, 0.03, 4.25, 0.7, 0.5, 1.17, 0.545, 441
2021/11/12, 0, 9.69, 0.4, 0.2, 1.1, 0.986, 410
2021/11/13, 0.1, 10.6, 1.33, 0.9, 2.2, 1.545, 462
2021/11/14, 0.3, 11.43, 0.9, 0.63, 1.23, 1.172, 456
2021/11/15, 0.1, 15.05, 0.77, 0.4, 2.5, 1.593, 455
2021/11/16, 0.2, 9.32, 1.05, 0.77, 1.51, 0.921, 449
2021/11/17, 0.2, 11.7, 1.5, 0.7, 2.17, 1.125, 340
2021/11/18, 0, 8.94, 0.4, 0.1, 1.3, 0.845, 419
2021/11/19, 0.28, 13.15, 0.9, 0.7, 1.2, 0.741, 398
2021/11/20, 0.08, 8.02, 0.6, 0.4, 0.88, 0.618, 427
2021/11/21, 0, 9.35, 0.55, 0.3, 0.82, 0.77, 465
2021/11/22, 0, 11.63, 0.4, 0.27, 0.6, 0.891, 440
2021/11/23, 0, 3.75, 0.2, 0.14, 0.4, 0.368, 460
2021/11/24, 0.22, 3.55, 0.98, 0.73, 1.2, 0.449, 463
2021/11/25, 0.1, 3.65, 0.9, 0.6, 1.35, 0.608, 470
2021/11/26, 0, 5.35, 0.4, 0.22, 0.74, 0.841, 464
2021/11/27, 0.28, 4.07, 0.8, 0.6, 1.17, 0.478, 458
2021/11/28, 0.1, 4.25, 0.65, 0.4, 0.94, 0.462, 457
2021/11/29, 0.1, 7.25, 0.5, 0.3, 0.7, 0.587, 457
2021/11/30, 0, 5.63, 0.13, 0.1, 0.28, 0.344, 455
2021/12/01, 0, 4.53, 0.5, 0.28, 0.77, 0.408, 436
2021/12/02, 0.1, 5.2, 0.88, 0.6, 1.14, 0.63, 449
2021/12/03, 0, 2.35, 0.38, 0.1, 0.63, 0.374, 199
2021/12/04, 0, 2.15, 0.4, 0.28, 0.68, 0.368, 433
2021/12/05, 0.3, 10.6, 1, 0.68, 1.83, 1.156, 441
2021/12/06, 0, 11.43, 0.6, 0.32, 0.98, 0.744, 459
2021/12/07, 0.1, 5.9, 1.14, 0.68, 1.89, 0.838, 449
2021/12/08, 0.28, 8.38, 1.92, 1.14, 2.54, 1.022, 451
2021/12/09, 0.2, 12.57, 0.75, 0.5, 1.3, 1.052, 457
2021/12/10, 0.17, 3.95, 0.52, 0.4, 0.7, 0.396, 419
2021/12/11, 0, 10.82, 1.17, 0.5, 2.13, 1.303, 446
2021/12/12, 0, 5.5, 2.33, 0.49, 2.97, 1.372, 389
2021/12/13, 0.2, 5.2, 1.4, 0.99, 1.88, 0.677, 397
2021/12/14, 0.32, 10.6, 1.1, 0.75, 2.21, 1.153, 425
2021/12/15, 0.2, 9.93, 0.8, 0.5, 1.41, 1.042, 441
2021/12/16, 0.1, 13.98, 1.83, 1.2, 3.3, 1.72, 438
2021/12/17, 1.1, 44.17, 4.21, 3.1, 7.63, 4.1, 446
2021/12/18, 2.52, 34.63, 4.8, 4, 7.4, 4.874, 446
2021/12/19, 2.4, 25.8, 5.82, 4.19, 7.53, 2.49, 445
2021/12/20, 0.1, 47.28, 2.33, 0.7, 5.3, 3.725, 439
2021/12/21, 0.1, 26.08, 4.2, 3.33, 6.3, 3.008, 455
2021/12/22, 6.35, 30.55, 16.48, 14.57, 21.92, 4.181, 454
2021/12/23, 0.3, 20.52, 6.47, 3.45, 11.73, 5.4, 433
2021/12/24, 0.2, 7.57, 1.4, 0.88, 2.38, 1.257, 448
2021/12/25, 0.3, 4.05, 1, 0.73, 1.33, 0.519, 438
2021/12/26, 0.3, 9.69, 1.55, 1.1, 2.7, 2.395, 455
2021/12/27, 0.6, 24.25, 3.22, 1.85, 6.1, 2.74, 467
2021/12/28, 1, 18.64, 5.75, 3.54, 8.49, 3.749, 461
2021/12/29, 0.1, 8.75, 3.8, 2.67, 4.79, 1.61, 465
2021/12/30, 0.1, 8.18, 0.8, 0.45, 1.42, 1.081, 453
2021/12/31, 0, 48.6, 0.8, 0.47, 1.4, 2.701, 468
