date, pm25, pm10, o3, no2, so2, co
2023/11/25, 23, 11, , 19, , 
2023/11/26, 39, 7, , 8, , 
2023/11/27, 15, 9, , 13, , 
2023/11/28, 17, 8, , 17, , 
2023/11/29, 16, 7, , 16, , 
2023/11/30, 14, 15, , 22, , 
2023/12/1, 45, 12, , 22, , 
2023/12/2, 39, 14, , 14, , 
2023/12/3, 41, 12, , 4, , 
2023/12/4, 26, 13, , 9, , 
2023/12/5, 25, 9, , 15, , 
2023/12/6, 24, 5, , 6, , 
2023/12/7, 15, 7, , 11, , 
2023/12/8, 16, 6, , 5, , 
2023/12/9, 14, 7, , 6, , 
2023/12/10, 16, 5, , 13, , 
2023/12/11, 11, 10, , 2, , 
2023/12/12, 15, 8, , 11, , 
2023/12/13, 16, 9, , 30, , 
2023/12/14, 21, 5, , 20, , 
2023/12/15, 11, 2, , 12, , 
2023/12/16, 5, 2, , 11, , 
2023/12/17, 6, 2, , 22, , 
2023/12/18, 4, 8, , 23, , 
2023/12/19, 17, 4, , 16, , 
2023/12/20, 10, 8, , 11, , 
2023/12/21, 17, 4, , 14, , 
2023/12/22, 9, 2, , 9, , 
2023/12/23, 6, 6, , 5, , 
2023/12/24, 15, 7, , 16, , 
2023/12/25, 17, 4, , 36, , 
2023/12/26, 12, 3, , 19, , 
2023/12/27, 6, 4, , 15, , 
2023/12/28, 10, 4, , 38, , 
2023/12/29, 12, 5, , 32, , 
2023/12/30, 13, 6, , 34, , 
2023/12/31, 17, 7, , 25, , 
2023/7/1, 14, 5, , 1, , 
2023/7/2, 10, 8, , 2, , 
2023/7/3, 13, 7, , 4, , 
2023/7/4, 15, 4, , 5, , 
2023/7/5, 8, 5, , 7, , 
2023/7/6, 9, 6, , 4, , 
2023/7/7, 12, 18, , 6, , 
2023/7/8, 49, 8, , 4, , 
2023/7/9, 21, 8, , 5, , 
2023/7/10, 16, 4, , 4, , 
2023/7/11, 7, 4, , 6, , 
2023/7/12, 8, 5, , 4, , 
2023/7/13, 9, 6, , 6, , 
2023/7/14, 12, 4, , 3, , 
2023/7/15, 6, 4, , 1, , 
2023/7/16, 7, 5, , 3, , 
2023/7/17, 7, 4, , 6, , 
2023/7/18, 7, 6, , 6, , 
2023/7/19, 11, 9, , 5, , 
2023/7/20, 25, 6, , 6, , 
2023/7/21, 17, 5, , 2, , 
2023/7/22, 13, 10, , , , 
2023/7/23, 19, 4, , 7, , 
2023/7/24, 7, 5, , 5, , 
2023/7/25, 12, 5, , 5, , 
2023/7/26, 13, 8, , 4, , 
2023/7/27, 20, 6, , 6, , 
2023/7/28, 11, 4, , 4, , 
2023/7/29, 11, 4, , 3, , 
2023/7/30, 10, 3, , 6, , 
2023/7/31, 7, 7, , 2, , 
2023/8/1, 14, 8, , 2, , 
2023/8/2, 16, 4, , 7, , 
2023/8/3, 7, 4, , 7, , 
2023/8/4, 9, 6, , 3, , 
2023/8/5, 14, 5, , 4, , 
2023/8/6, 15, 4, , 4, , 
2023/8/7, 7, 5, , 4, , 
2023/8/8, 9, 5, , 7, , 
2023/8/9, 8, 12, , 8, , 
2023/8/10, 27, 9, , 6, , 
2023/8/11, 22, 5, , 5, , 
2023/8/12, 13, 4, , 4, , 
2023/8/13, 11, 6, , 4, , 
2023/8/14, 13, 8, , 7, , 
2023/8/15, 15, 7, , 4, , 
2023/8/16, 14, 11, , 5, , 
2023/8/17, 17, 10, , 2, , 
2023/8/18, 16, 7, , 3, , 
2023/8/19, 15, 6, , 3, , 
2023/8/20, 16, 7, , 5, , 
2023/8/21, 16, 5, , 4, , 
2023/8/22, 8, 8, , 7, , 
2023/8/23, 12, 5, , 5, , 
2023/8/24, 9, 4, , 8, , 
2023/8/25, 8, 3, , 5, , 
2023/8/26, 7, 3, , 4, , 
2023/8/27, 6, 7, , 5, , 
2023/8/28, 15, 8, , 4, , 
2023/8/29, 17, 4, , 8, , 
2023/8/30, 9, 11, , 8, , 
2023/8/31, 16, 7, , 5, , 
2023/9/1, 10, 6, , 5, , 
2023/9/2, 18, 9, , 2, , 
2023/9/3, 17, 7, , 9, , 
2023/9/4, 13, 11, , 7, , 
2023/9/5, 23, 15, , 5, , 
2023/9/6, 39, 10, , 6, , 
2023/9/7, 28, 13, , 9, , 
2023/9/8, 38, 18, , 9, , 
2023/9/9, 44, 7, , 6, , 
2023/9/10, 19, 5, , 5, , 
2023/9/11, 13, 5, , 6, , 
2023/9/12, 9, 8, , 8, , 
2023/9/13, 12, 5, , 6, , 
2023/9/14, 10, 6, , 7, , 
2023/9/15, 11, 6, , 1, , 
2023/9/16, 11, 6, , 3, , 
2023/9/17, 13, 6, , 5, , 
2023/9/18, 14, 3, , 7, , 
2023/9/19, 8, 3, , 4, , 
2023/9/20, 5, 5, , 5, , 
2023/9/21, 10, 4, , 7, , 
2023/9/22, 8, 5, , 5, , 
2023/9/23, 11, 3, , 4, , 
2023/9/24, 8, 8, , 5, , 
2023/9/25, 20, 10, , 7, , 
2023/9/26, 23, 5, , 8, , 
2023/9/27, 12, 8, , 4, , 
2023/9/28, 19, 11, , 3, , 
2023/9/29, 27, 7, , 7, , 
2023/9/30, 16, 5, , 7, , 
2023/4/1, 27, 18, , 4, , 
2023/4/2, 36, 12, , 12, , 
2023/4/3, 22, 17, , 16, , 
2023/4/4, 42, 4, , 14, , 
2023/4/5, 12, 4, , 6, , 
2023/4/6, 9, 7, , 6, , 
2023/4/7, 14, 12, , 5, , 
2023/4/8, 34, 15, , 4, , 
2023/4/9, 46, 6, , 5, , 
2023/4/10, 14, 6, , 6, , 
2023/4/11, 9, 7, , 4, , 
2023/4/12, 11, 4, , 14, , 
2023/4/13, 11, 7, , 11, , 
2023/4/14, 12, 7, , 10, , 
2023/4/15, 20, 4, , 6, , 
2023/4/16, 10, 12, , 8, , 
2023/4/17, 31, 16, , 3, , 
2023/4/18, 37, 22, , 2, , 
2023/4/19, 37, 11, , 2, , 
2023/4/20, 23, 24, , 1, , 
2023/4/21, 30, 23, , 2, , 
2023/4/22, 37, 7, , 5, , 
2023/4/23, 21, 8, , 4, , 
2023/4/24, 14, 7, , 8, , 
2023/4/25, 13, 15, , 8, , 
2023/4/26, 26, 18, , 10, , 
2023/4/27, 46, 18, , 13, , 
2023/4/28, 54, 10, , 2, , 
2023/4/29, 21, 7, , 5, , 
2023/4/30, 23, 6, , 5, , 
2023/5/1, 12, 15, , 7, , 
2023/5/2, 27, 15, , 7, , 
2023/5/3, 40, 38, , 4, , 
2023/5/4, 38, 21, , 2, , 
2023/5/5, 52, 10, , 5, , 
2023/5/6, 36, 9, , 4, , 
2023/5/7, 33, 4, , 8, , 
2023/5/8, 12, 14, , 6, , 
2023/5/9, 18, 10, , 12, , 
2023/5/10, 16, 8, , 6, , 
2023/5/11, 18, 7, , 2, , 
2023/5/12, 17, 11, , 8, , 
2023/5/13, 31, 7, , 7, , 
2023/5/14, 18, 6, , 4, , 
2023/5/15, 10, 9, , 3, , 
2023/5/16, 18, 9, , 6, , 
2023/5/17, 20, 12, , 5, , 
2023/5/18, 22, 14, , 6, , 
2023/5/19, 34, 14, , 11, , 
2023/5/20, 40, 7, , 5, , 
2023/5/21, 24, 9, , 7, , 
2023/5/22, 27, 12, , 5, , 
2023/5/23, 26, 14, , 4, , 
2023/5/24, 28, , , , , 
2023/5/31, 20, 12, , 4, , 
2023/6/1, 19, 13, , 3, , 
2023/6/2, 20, 10, , 2, , 
2023/6/3, 23, 8, , 1, , 
2023/6/4, 20, 14, , 2, , 
2023/6/5, 19, 12, , 3, , 
2023/6/6, 19, 20, , 4, , 
2023/6/7, 22, 22, , 4, , 
2023/6/8, 22, 39, , 3, , 
2023/6/9, 37, 22, , 1, , 
2023/6/10, 39, 14, , 3, , 
2023/6/11, 36, 16, , 4, , 
2023/6/12, 40, 20, , 4, , 
2023/6/13, 44, 23, , 5, , 
2023/6/14, 39, 21, , 5, , 
2023/6/15, 29, 15, , 3, , 
2023/6/16, 26, 12, , 3, , 
2023/6/17, 26, 16, , 1, , 
2023/6/18, 37, 8, , 6, , 
2023/6/19, 18, 7, , 6, , 
2023/6/20, 17, 8, , 5, , 
2023/6/21, 20, 8, , 6, , 
2023/6/22, 18, 6, , 11, , 
2023/6/23, 14, 4, , 4, , 
2023/6/24, 9, 5, , 5, , 
2023/6/25, 11, 7, , 4, , 
2023/6/26, 14, 5, , 9, , 
2023/6/27, 10, 5, , 6, , 
2023/6/28, 9, 7, , 5, , 
2023/6/29, 13, 6, , 7, , 
2023/6/30, 14, 7, , 1, , 
2023/1/2, 9, 3, , 9, , 
2023/1/3, 8, 3, , 6, , 
2023/1/4, 9, 3, , 12, , 
2023/1/5, 8, 6, , 6, , 
2023/1/6, 17, 3, , 8, , 
2023/1/7, 8, 8, , 5, , 
2023/1/8, 20, 4, , 8, , 
2023/1/9, 10, 5, , 8, , 
2023/1/10, 12, 7, , 5, , 
2023/1/11, 17, 6, , 8, , 
2023/1/12, 15, 4, , 6, , 
2023/1/13, 8, 2, , 4, , 
2023/1/14, 6, 4, , 7, , 
2023/1/15, 10, 3, , 14, , 
2023/1/16, 8, 3, , 12, , 
2023/1/17, 6, 5, , 12, , 
2023/1/18, 12, 4, , 13, , 
2023/1/19, 10, 9, , 31, , 
2023/1/20, 26, 5, , 25, , 
2023/1/21, 17, 4, , 12, , 
2023/1/22, 14, 2, , 17, , 
2023/1/23, 7, 3, , 15, , 
2023/1/24, 10, 5, , 13, , 
2023/1/25, 13, 5, , 18, , 
2023/1/26, 11, 8, , 25, , 
2023/1/27, 16, 4, , 12, , 
2023/1/28, 10, 5, , 7, , 
2023/1/29, 11, 7, , 12, , 
2023/1/30, 17, 6, , 9, , 
2023/1/31, 15, 5, , 11, , 
2023/2/1, 12, 3, , 10, , 
2023/2/2, 8, 12, , 8, , 
2023/2/3, 29, 5, , 7, , 
2023/2/4, 11, 10, , 12, , 
2023/2/5, 23, 7, , 11, , 
2023/2/6, 15, 7, , 11, , 
2023/2/7, 18, 21, , 9, , 
2023/2/8, 22, 7, , 6, , 
2023/2/9, 16, 5, , 5, , 
2023/2/10, 10, 3, , 5, , 
2023/2/11, 8, 4, , 7, , 
2023/2/12, 11, 19, , 18, , 
2023/2/13, 56, 23, , 17, , 
2023/2/14, 63, 15, , 9, , 
2023/2/15, 29, 5, , 13, , 
2023/2/16, 9, 5, , 4, , 
2023/2/17, 12, 2, , 2, , 
2023/2/18, 3, 2, , 3, , 
2023/2/19, 6, 3, , 4, , 
2023/2/20, 5, 4, , 8, , 
2023/2/21, 6, 3, , 8, , 
2023/2/22, 6, 9, , 9, , 
2023/2/23, 14, 6, , 5, , 
2023/2/24, 10, 6, , 4, , 
2023/2/25, 10, 8, , 7, , 
2023/2/26, 18, 14, , 16, , 
2023/2/27, 27, 10, , 5, , 
2023/2/28, 17, 6, , 2, , 
2023/3/1, 10, 8, , 2, , 
2023/3/2, 18, 10, , 10, , 
2023/3/3, 23, 7, , 10, , 
2023/3/4, 20, 4, , 5, , 
2023/3/5, 11, 6, , 7, , 
2023/3/6, 7, 6, , 9, , 
2023/3/7, 8, 6, , 9, , 
2023/3/8, 7, 9, , 2, , 
2023/3/9, 9, 6, , 8, , 
2023/3/10, 10, 7, , 7, , 
2023/3/11, 12, 6, , 5, , 
2023/3/12, 19, 4, , 4, , 
2023/3/13, 8, 8, , 12, , 
2023/3/14, 14, 8, , 14, , 
2023/3/15, 13, 3, , 9, , 
2023/3/16, 7, 4, , 13, , 
2023/3/17, 10, 5, , 6, , 
2023/3/18, 14, 4, , 7, , 
2023/3/19, 9, 4, , 6, , 
2023/3/20, 11, 2, , 8, , 
2023/3/21, 4, 10, , 5, , 
2023/3/22, 17, 7, , 6, , 
2023/3/23, 13, 4, , 8, , 
2023/3/24, 9, 7, , 4, , 
2023/3/25, 15, 7, , 3, , 
2023/3/26, 14, 6, , 15, , 
2023/3/27, 10, 4, , 15, , 
2023/3/28, 11, 5, , 12, , 
2023/3/29, 14, 7, , 13, , 
2023/3/30, 18, 11, , 3, , 
2023/3/31, 27, 15, , 1, , 
2022/10/1, 14, 7, , 3, , 
2022/10/2, 17, 8, , 8, , 
2022/10/3, 12, 4, , 8, , 
2022/10/4, 7, 3, , 7, , 
2022/10/5, 7, 8, , 4, , 
2022/10/6, 17, 5, , 6, , 
2022/10/7, 12, 6, , 5, , 
2022/10/8, 12, 6, , 3, , 
2022/10/9, 12, 9, , 5, , 
2022/10/10, 18, 8, , 10, , 
2022/10/11, 14, 7, , 8, , 
2022/10/12, 13, 12, , 13, , 
2022/10/13, 20, 4, , 12, , 
2022/10/14, 10, 3, , 5, , 
2022/10/15, 6, 6, , 3, , 
2022/10/16, 12, 7, , 8, , 
2022/10/17, 12, 7, , 8, , 
2022/10/18, 13, 9, , 3, , 
2022/10/19, 16, 13, , 1, , 
2022/10/20, 31, 9, , 8, , 
2022/10/21, 23, 12, , 9, , 
2022/10/22, 31, 7, , 6, , 
2022/10/23, 19, 6, , 12, , 
2022/10/24, 14, 5, , 12, , 
2022/10/25, 10, 6, , 9, , 
2022/10/26, 14, 7, , 10, , 
2022/10/27, 16, 7, , 8, , 
2022/10/28, 14, 8, , 8, , 
2022/10/29, 20, 6, , 6, , 
2022/10/30, 14, 6, , 7, , 
2022/10/31, 15, 7, , 9, , 
2022/11/1, 17, 5, , 7, , 
2022/11/2, 11, 9, , 15, , 
2022/11/3, 21, 6, , 12, , 
2022/11/4, 13, 8, , 12, , 
2022/11/5, 20, 7, , 7, , 
2022/11/6, 19, 6, , 9, , 
2022/11/7, 15, 5, , 9, , 
2022/11/8, 11, 8, , 8, , 
2022/11/9, 15, 12, , 5, , 
2022/11/10, 15, 7, , 5, , 
2022/11/11, 13, 6, , 11, , 
2022/11/12, 16, 10, , 6, , 
2022/11/13, 31, 16, , 11, , 
2022/11/14, 46, 9, , 15, , 
2022/11/15, 24, 7, , 13, , 
2022/11/16, 16, 14, , 5, , 
2022/11/17, 28, 8, , 9, , 
2022/11/18, 16, 4, , 9, , 
2022/11/19, 8, 4, , 11, , 
2022/11/20, 13, 5, , 12, , 
2022/11/21, 13, 11, , 21, , 
2022/11/22, 28, 7, , 12, , 
2022/11/23, 18, 9, , 8, , 
2022/11/24, 20, 8, , 7, , 
2022/11/25, 17, 5, , 5, , 
2022/11/26, 13, 11, , 9, , 
2022/11/27, 28, 9, , 19, , 
2022/11/28, 21, 12, , 20, , 
2022/11/29, 36, 14, , 19, , 
2022/11/30, 44, 12, , 18, , 
2022/12/1, 36, 12, , 11, , 
2022/12/2, 39, 7, , 7, , 
2022/12/3, 18, 8, , 3, , 
2022/12/4, 15, 7, , 1, , 
2022/12/5, 11, 4, , 8, , 
2022/12/6, 10, 6, , 10, , 
2022/12/7, 13, 6, , 14, , 
2022/12/8, 15, 8, , 16, , 
2022/12/9, 19, 5, , 13, , 
2022/12/10, 15, 7, , 11, , 
2022/12/11, 19, 14, , 26, , 
2022/12/12, 44, 10, , 25, , 
2022/12/13, 34, 6, , 17, , 
2022/12/14, 14, 5, , 19, , 
2022/12/15, 13, 4, , 16, , 
2022/12/16, 13, 5, , 12, , 
2022/12/17, 16, 8, , 8, , 
2022/12/18, 32, 3, , 6, , 
2022/12/19, 9, 9, , 12, , 
2022/12/20, 21, 7, , 8, , 
2022/12/21, 16, 7, , 18, , 
2022/12/22, 18, 5, , 7, , 
2022/12/23, 12, 5, , 9, , 
2022/12/24, 12, 4, , 7, , 
2022/12/25, 11, 3, , 4, , 
2022/12/26, 7, 6, , 11, , 
2022/12/27, 18, 4, , 8, , 
2022/12/28, 11, 3, , 5, , 
2022/12/29, 8, 3, , 7, , 
2022/12/30, 8, 5, , 10, , 
2022/12/31, 13, 4, , 6, , 
2023/1/1, 9, 3, , 12, , 
2022/7/1, 13, 4, , 3, , 
2022/7/2, 7, 3, , 1, , 
2022/7/3, 7, 6, , 2, , 
2022/7/4, 10, 7, , 4, , 
2022/7/5, 11, 5, , 2, , 
2022/7/6, 7, 5, , 3, , 
2022/7/7, 8, 5, , 2, , 
2022/7/8, 6, 4, , 2, , 
2022/7/9, 9, 2, , 2, , 
2022/7/10, 5, 11, , 5, , 
2022/7/11, 13, 13, , 3, , 
2022/7/12, 21, 10, , 2, , 
2022/7/13, 15, 7, , 3, , 
2022/7/14, 12, 4, , 7, , 
2022/7/15, 9, 7, , 4, , 
2022/7/16, 17, 10, , 7, , 
2022/7/17, 27, 17, , 12, , 
2022/7/18, 36, 25, , 16, , 
2022/7/19, 43, 14, , 5, , 
2022/7/20, 25, 8, , 3, , 
2022/7/21, 11, 10, , 3, , 
2022/7/22, 13, 6, , 3, , 
2022/7/23, 17, 4, , 3, , 
2022/7/24, 10, 5, , 5, , 
2022/7/25, 8, 7, , 6, , 
2022/7/26, 8, 8, , 4, , 
2022/7/27, 13, 12, , 8, , 
2022/7/28, 25, 9, , 7, , 
2022/7/29, 18, 4, , 3, , 
2022/7/30, 8, 7, , 2, , 
2022/7/31, 15, 8, , 6, , 
2022/8/1, 12, 7, , 4, , 
2022/8/2, 8, 5, , 5, , 
2022/8/3, 9, 6, , 4, , 
2022/8/4, 10, 8, , 5, , 
2022/8/5, 15, 9, , 3, , 
2022/8/6, 20, 5, , 1, , 
2022/8/7, 12, 10, , 6, , 
2022/8/8, 18, 10, , 6, , 
2022/8/9, 16, 17, , 11, , 
2022/8/10, 24, 23, , 14, , 
2022/8/11, 49, 14, , 5, , 
2022/8/12, 33, 9, , 2, , 
2022/8/13, 27, 12, , 2, , 
2022/8/14, 34, 15, , 6, , 
2022/8/15, 44, 6, , 5, , 
2022/8/16, 10, 8, , 1, , 
2022/8/17, 12, 21, , 7, , 
2022/8/18, 20, 12, , 6, , 
2022/8/19, 18, 8, , 3, , 
2022/8/20, 16, 7, , 4, , 
2022/8/21, 16, 8, , 7, , 
2022/8/22, 18, 10, , 11, , 
2022/8/23, 22, 7, , 7, , 
2022/8/24, 14, 9, , 8, , 
2022/8/25, 18, 9, , 9, , 
2022/8/26, 19, 5, , 5, , 
2022/8/27, 11, 8, , 5, , 
2022/8/28, 24, 6, , 5, , 
2022/8/29, 15, 6, , 2, , 
2022/8/30, 9, 7, , 6, , 
2022/8/31, 11, 9, , 8, , 
2022/9/1, 18, 14, , 7, , 
2022/9/2, 18, 18, , 3, , 
2022/9/3, 38, 13, , 4, , 
2022/9/4, 35, 16, , 5, , 
2022/9/5, 32, 11, , 8, , 
2022/9/6, 21, 12, , 8, , 
2022/9/7, 27, 15, , 4, , 
2022/9/8, 35, 16, , 1, , 
2022/9/9, 27, 8, , 4, , 
2022/9/10, 12, 6, , 6, , 
2022/9/11, 13, 4, , 5, , 
2022/9/12, 6, 7, , 7, , 
2022/9/13, 11, 8, , 7, , 
2022/9/14, 12, 6, , 7, , 
2022/9/15, 9, 8, , 4, , 
2022/9/16, 8, 3, , 4, , 
2022/9/17, 6, 3, , 4, , 
2022/9/18, 6, 4, , 6, , 
2022/9/19, 12, 9, , 10, , 
2022/9/20, 23, 18, , 13, , 
2022/9/21, 27, 5, , 9, , 
2022/9/22, 10, 6, , 7, , 
2022/9/23, 11, 4, , 8, , 
2022/9/24, 8, 5, , 3, , 
2022/9/25, 10, 9, , 4, , 
2022/9/26, 18, 7, , 5, , 
2022/9/27, 10, 4, , 8, , 
2022/9/28, 7, 14, , 4, , 
2022/9/29, 27, 12, , 5, , 
2022/9/30, 19, 6, , 4, , 
2022/4/1, 10, , , , , 
2022/4/6, 7, 4, , 3, , 
2022/4/7, 8, 6, , 5, , 
2022/4/8, 11, 5, , 3, , 
2022/4/9, 11, 6, , 2, , 
2022/4/10, 13, 21, , 3, , 
2022/4/11, 38, 17, , 2, , 
2022/4/12, 47, 9, , 4, , 
2022/4/13, 26, 9, , 4, , 
2022/4/14, 20, 18, , 10, , 
2022/4/15, 36, 13, , 10, , 
2022/4/16, 34, 13, , 5, , 
2022/4/17, 33, 5, , 5, , 
2022/4/18, 9, 11, , 9, , 
2022/4/19, 17, 13, , 7, , 
2022/4/20, 24, 18, , 2, , 
2022/4/21, 44, 37, , 2, , 
2022/4/22, 45, 30, , 1, , 
2022/4/23, 44, 19, , 1, , 
2022/4/24, 38, 11, , 3, , 
2022/4/25, 22, 8, , 3, , 
2022/4/26, 14, 14, , 5, , 
2022/4/27, 23, 15, , 11, , 
2022/4/28, 33, 16, , 14, , 
2022/4/29, 34, 15, , 8, , 
2022/4/30, 32, 3, , 4, , 
2022/5/1, 9, 7, , 5, , 
2022/5/2, 16, 15, , 7, , 
2022/5/3, 34, 7, , 7, , 
2022/5/4, 10, 5, , 7, , 
2022/5/5, 11, 4, , 6, , 
2022/5/6, 9, 13, , 2, , 
2022/5/7, 28, 10, , 4, , 
2022/5/8, 28, 7, , 8, , 
2022/5/9, 16, 8, , 6, , 
2022/5/10, 13, 7, , 5, , 
2022/5/11, 12, 7, , 7, , 
2022/5/12, 12, 14, , 6, , 
2022/5/13, 32, 16, , 5, , 
2022/5/14, 41, 16, , 5, , 
2022/5/15, 45, 14, , 2, , 
2022/5/16, 36, 11, , 5, , 
2022/5/17, 23, 9, , 6, , 
2022/5/18, 17, 8, , 7, , 
2022/5/19, 15, 9, , 8, , 
2022/5/20, 14, 7, , 4, , 
2022/5/21, 16, 4, , 3, , 
2022/5/22, 10, 5, , 5, , 
2022/5/23, 7, 5, , 6, , 
2022/5/24, 7, 7, , 5, , 
2022/5/25, 8, 9, , 4, , 
2022/5/26, 15, 10, , 3, , 
2022/5/27, 17, 7, , 3, , 
2022/5/28, 10, 3, , 2, , 
2022/5/29, 6, 6, , 5, , 
2022/5/30, 8, 8, , 6, , 
2022/5/31, 12, 8, , 5, , 
2022/6/1, 17, 11, , 7, , 
2022/6/2, 19, 10, , 1, , 
2022/6/3, 20, 7, , 2, , 
2022/6/4, 17, 7, , 1, , 
2022/6/5, 17, 10, , 3, , 
2022/6/6, 18, 17, , 3, , 
2022/6/7, 27, 11, , 1, , 
2022/6/8, 28, 6, , 8, , 
2022/6/9, 12, 16, , 6, , 
2022/6/10, 28, 9, , 2, , 
2022/6/11, 18, 7, , 4, , 
2022/6/12, 14, 10, , 8, , 
2022/6/13, 20, 9, , 7, , 
2022/6/14, 12, 13, , 9, , 
2022/6/15, 20, 12, , 9, , 
2022/6/16, 19, 8, , 5, , 
2022/6/17, 15, 12, , 2, , 
2022/6/18, 23, 7, , 1, , 
2022/6/19, 18, 13, , 7, , 
2022/6/20, 22, 6, , 6, , 
2022/6/21, 8, 8, , 5, , 
2022/6/22, 9, 8, , 8, , 
2022/6/23, 15, 15, , 8, , 
2022/6/24, 36, 7, , 3, , 
2022/6/25, 15, 6, , 2, , 
2022/6/26, 10, 6, , 6, , 
2022/6/27, 12, 10, , 5, , 
2022/6/28, 17, 5, , 6, , 
2022/6/29, 9, 8, , 8, , 
2022/6/30, 14, 7, , 7, , 
2022/1/3, 14, 8, , 3, , 
2022/1/4, 18, 9, , 15, , 
2022/1/5, 23, 5, , 8, , 
2022/1/6, 12, 3, , 10, , 
2022/1/7, 9, 7, , 8, , 
2022/1/8, 19, 5, , 13, , 
2022/1/9, 17, 6, , 13, , 
2022/1/10, 19, 12, , 13, , 
2022/1/11, 25, 9, , 8, , 
2022/1/12, 20, 5, , 8, , 
2022/1/13, 11, 3, , 12, , 
2022/1/14, 11, 8, , 12, , 
2022/1/15, 30, 8, , 7, , 
2022/1/16, 21, 7, , 9, , 
2022/1/17, 18, 7, , 13, , 
2022/1/18, 24, 6, , 7, , 
2022/1/19, 14, 10, , 16, , 
2022/1/20, 18, 3, , 9, , 
2022/1/21, 11, 3, , 6, , 
2022/1/22, 9, 6, , 6, , 
2022/1/23, 14, 20, , 12, , 
2022/1/24, 40, 23, , 10, , 
2022/1/25, 52, 6, , 7, , 
2022/1/26, 12, 6, 17, 10, , 
2022/1/27, 14, 10, 23, 10, , 
2022/1/28, 22, 8, 26, 3, , 
2022/1/29, 22, 8, 28, 8, , 
2022/1/30, 17, 7, 28, 8, , 
2022/1/31, 13, 15, 27, 3, , 
2022/2/1, 41, 4, 24, 10, , 
2022/2/2, 9, 9, , 6, , 
2022/2/3, 18, 6, , 10, , 
2022/2/4, 14, 4, , 5, , 
2022/2/5, 12, 3, , 4, , 
2022/2/6, 9, 7, , 12, , 
2022/2/7, 15, 8, , 6, , 
2022/2/8, 19, 6, , 9, , 
2022/2/9, 14, 4, , 7, , 
2022/2/10, 10, 13, , 18, , 
2022/2/11, 21, 2, , 5, , 
2022/2/12, 6, 7, , 5, , 
2022/2/13, 16, 3, , 10, , 
2022/2/14, 6, 5, , 11, , 
2022/2/15, 12, 6, , 7, , 
2022/2/16, 15, 5, , 7, , 
2022/2/17, 11, 3, , 6, , 
2022/2/18, 8, 4, , 9, , 
2022/2/19, 9, 9, , 3, , 
2022/2/20, 22, 6, , 11, , 
2022/2/21, 14, 8, , 6, , 
2022/2/22, 19, 7, , 6, , 
2022/2/23, 16, 4, , 8, , 
2022/2/24, 9, 9, , 13, , 
2022/2/25, 19, 8, , 5, , 
2022/2/26, 19, 7, , 8, , 
2022/2/27, 23, 6, , 8, , 
2022/2/28, 16, 15, , 16, , 
2022/3/1, 28, 14, , 7, , 
2022/3/2, 34, 18, , 14, , 
2022/3/3, 52, 4, , 15, , 
2022/3/4, 11, 5, , 11, , 
2022/3/5, 10, 9, , 16, , 
2022/3/6, 27, 9, , 15, , 
2022/3/7, 24, 31, , 6, , 
2022/3/8, 62, 13, , 6, , 
2022/3/9, 30, 8, , 8, , 
2022/3/10, 15, 19, , 8, , 
2022/3/11, 47, 7, , 5, , 
2022/3/12, 13, 7, , 3, , 
2022/3/13, 20, 7, , 8, , 
2022/3/14, 13, 8, , 10, , 
2022/3/15, 18, 5, , 15, , 
2022/3/16, 15, 11, , 10, , 
2022/3/17, 22, 14, , 16, , 
2022/3/18, 32, 16, , 12, , 
2022/3/19, 40, 16, , 3, , 
2022/3/20, 43, 35, , 15, , 
2022/3/21, 79, 41, , 14, , 
2022/3/22, 97, 49, , 17, , 
2022/3/23, 111, 36, , 25, , 
2022/3/24, 76, 25, , 18, , 
2022/3/25, 62, 15, , 15, , 
2022/3/26, 49, 19, , 13, , 
2022/3/27, 58, 21, , 12, , 
2022/3/28, 53, 17, , 8, , 
2022/3/29, 46, 7, , 3, , 
2022/3/30, 11, 7, , 3, , 
2022/3/31, 10, 5, , 5, , 
2021/10/1, 10, 4, , 6, , 
2021/10/2, 11, 3, , 2, , 
2021/10/3, 9, 6, , , , 
2021/10/4, 12, 5, , , , 
2021/10/5, 11, 4, , , , 
2021/10/6, 7, 3, , , , 
2021/10/7, 6, 7, , , , 
2021/10/8, 17, 5, , , , 
2021/10/9, 15, 8, , , , 
2021/10/10, 17, 8, , , , 
2021/10/11, 17, 7, , , , 
2021/10/12, 12, 5, , , , 
2021/10/13, 9, 10, , , , 
2021/10/14, 20, 7, , , , 
2021/10/15, 13, 8, , , , 
2021/10/16, 16, 6, , , , 
2021/10/17, 20, 7, , , , 
2021/10/18, 21, 6, , , , 
2021/10/19, 10, 9, , , , 
2021/10/20, 15, 9, , , , 
2021/10/21, 17, 7, , , , 
2021/10/22, 14, 8, , , , 
2021/10/23, 13, 4, , , , 
2021/10/24, 9, 7, , , , 
2021/10/25, 13, 6, , , , 
2021/10/26, 14, 3, , , , 
2021/10/27, 6, 5, , , , 
2021/10/28, 12, 7, , , , 
2021/10/29, 13, 4, , 9, , 
2021/10/30, 8, 4, , 7, , 
2021/10/31, 11, 4, , 2, , 
2021/11/1, 8, 7, , 11, , 
2021/11/2, 12, 5, , 5, , 
2021/11/3, 8, 7, , 11, , 
2021/11/4, 16, 6, , 7, , 
2021/11/5, 17, 5, , 4, , 
2021/11/6, 15, 10, , 4, , 
2021/11/7, 25, 12, , 15, , 
