date, pm25, pm10, o3, no2, so2, co
2025/4/24, 29, 17, 28, 5, , 
2025/4/25, 29, 15, 18, 6, , 
2025/4/26, 45, 6, , 2, , 
2025/4/27, 15, 16, , 5, , 
2025/4/28, 26, 25, , 13, , 
2025/4/29, 35, 23, , 14, , 
2025/4/30, 42, , , , , 
2025/5/7, 27, 13, , 6, , 
2025/5/8, 22, 14, , 8, , 
2025/5/9, 24, 15, , 8, , 
2025/5/10, 32, 23, , 7, , 
2025/5/11, 45, 36, , 1, , 
2025/5/12, 60, 22, , 1, , 
2025/5/13, 49, 28, , , , 
2025/5/14, 41, 30, , 3, , 
2025/5/15, 44, 24, , 6, , 
2025/5/16, 44, 18, , 4, , 
2025/5/17, 39, 32, , 2, , 
2025/5/18, 41, 40, , , , 
2025/5/19, 54, 25, , 4, , 
2025/5/20, 38, 42, , 1, , 
2025/5/21, 48, 30, , 2, , 
2025/5/22, 28, 23, , 3, , 
2025/5/23, 27, 4, , 3, , 
2025/5/24, 9, 7, , 1, , 
2025/5/25, 11, 7, , 3, , 
2025/5/26, 12, 7, , 3, , 
2025/5/27, 12, 12, , 4, , 
2025/5/28, 14, 11, , 3, , 
2025/5/29, 13, 13, , 3, , 
2025/5/30, 18, 8, , 5, , 
2025/5/31, 18, 7, , 2, , 
2025/6/1, 14, 31, , 3, , 
2025/6/2, 30, 19, , 3, , 
2025/6/3, 24, 27, , 3, , 
2025/6/4, 26, 22, , 4, , 
2025/6/5, 26, 14, , 4, , 
2025/6/6, 19, 7, , 6, , 
2025/6/7, 12, 7, , 2, , 
2025/6/8, 17, 31, , 6, , 
2025/6/9, 78, 11, , 7, , 
2025/6/10, 26, 23, , 6, , 
2025/6/11, 45, 41, , 5, , 
2025/6/12, 57, 58, , 4, , 
2025/6/13, 44, 13, , 5, , 
2025/6/14, 32, 5, , 1, , 
2025/6/15, 16, 24, , 3, , 
2025/6/16, 38, 28, , 3, , 
2025/6/17, 35, 21, , 4, , 
2025/6/18, 23, 16, , 6, , 
2025/6/19, 30, 22, , 8, , 
2025/6/20, 43, 11, , 3, , 
2025/6/21, 32, 8, , 2, , 
2025/6/22, 21, 73, , 1, , 
2025/6/23, 45, 24, , 3, , 
2025/6/24, 21, 15, , 4, , 
2025/6/25, 15, 18, , 4, , 
2025/6/26, 19, 32, , 4, , 
2025/6/27, 23, 16, , 1, , 
2025/6/28, 30, 14, , 3, , 
2025/6/29, 31, 39, , 4, , 
2025/6/30, 28, 10, , 1, , 
2025/1/1, 14, 4, , 8, , 
2025/1/2, 11, 6, , 18, , 
2025/1/3, 16, 6, , 18, , 
2025/1/4, 21, 6, , 7, , 
2025/1/5, 17, 2, , 9, , 
2025/1/6, 5, 4, , 9, , 
2025/1/7, 8, 6, , 16, , 
2025/1/8, 14, 7, , 15, , 
2025/1/9, 17, 11, , 29, , 
2025/1/10, 29, 11, , 26, , 
2025/1/11, 38, 9, , 24, , 
2025/1/12, 34, 2, , 7, , 
2025/1/13, 5, 5, , 10, , 
2025/1/14, 15, 4, , 9, , 
2025/1/15, 9, 30, , 13, , 
2025/1/16, 31, 7, , 8, , 
2025/1/17, 20, 8, , 7, , 
2025/1/18, 27, 9, , 13, , 
2025/1/19, 32, 9, , 14, , 
2025/1/20, 31, 6, , 15, , 
2025/1/21, 18, 9, , 22, , 
2025/1/22, 28, 6, , 12, , 
2025/1/23, 16, 8, , 1, , 
2025/1/24, 18, 3, , 4, , 
2025/1/25, 8, 4, , 3, , 
2025/1/26, 9, 7, , 11, , 
2025/1/27, 13, 7, , 10, , 
2025/1/28, 14, 5, , 8, , 
2025/1/29, 10, 5, , 10, , 
2025/1/30, 10, 7, , 15, , 
2025/1/31, 23, 10, , 15, , 
2025/2/1, 30, 3, , 8, , 
2025/2/2, 13, 3, , 6, , 
2025/2/3, 8, 2, , 4, , 
2025/2/4, 4, 5, , 7, , 
2025/2/5, 12, 12, , 19, , 
2025/2/6, 25, 9, , 7, , 
2025/2/7, 22, 9, , 1, , 
2025/2/8, 20, 18, , , , 
2025/2/9, 49, 13, , , , 
2025/2/10, 27, 23, , , , 
2025/2/11, 47, 19, , 1, , 
2025/2/12, 39, 10, , 5, , 
2025/2/13, 16, 15, , 4, , 
2025/2/14, 31, 12, , 6, , 
2025/2/15, 42, 11, , 4, , 
2025/2/16, 38, 16, , 7, , 
2025/2/17, 50, 20, , 6, , 
2025/2/18, 52, 29, , 9, , 
2025/2/19, 75, 6, , , , 
2025/2/20, 15, 5, , , , 
2025/2/21, 14, , , , , 
2025/3/24, 13, 5, , , , 
2025/3/25, 9, 13, , 6, , 
2025/3/26, 25, 8, , 4, , 
2025/3/27, 11, 6, , 3, , 
2025/3/28, 14, 12, , 2, , 
2025/3/29, 26, 10, , 2, , 
2025/3/30, 22, 12, , 8, , 
2025/3/31, 23, 27, , 9, , 
2024/10/1, 44, 24, , 3, , 
2024/10/2, 31, 11, , 13, , 
2024/10/3, 23, 11, , 9, , 
2024/10/4, 17, 8, , 7, , 
2024/10/5, 26, 14, , 5, , 
2024/10/6, 46, 14, , 12, , 
2024/10/7, 31, 8, , 1, , 
2024/10/8, 17, 11, , 3, , 
2024/10/9, 15, 7, , 7, , 
2024/10/10, 12, 6, , 5, , 
2024/10/11, 10, 2, , 4, , 
2024/10/12, 5, 4, , 7, , 
2024/10/13, 10, 13, , 16, , 
2024/10/14, 21, 21, , 11, , 
2024/10/15, 41, 13, , 8, , 
2024/10/16, 27, 9, , 10, , 
2024/10/17, 16, 9, , 6, , 
2024/10/18, 12, 10, , 9, , 
2024/10/19, 26, 9, , 2, , 
2024/10/20, 21, 20, , 4, , 
2024/10/21, 26, 13, , 5, , 
2024/10/22, 23, 9, , 8, , 
2024/10/23, 15, 13, , 7, , 
2024/10/24, 21, 17, , 5, , 
2024/10/25, 50, 9, , 6, , 
2024/10/26, 25, 6, , 5, , 
2024/10/27, 14, 4, , 8, , 
2024/10/28, 8, 3, , 5, , 
2024/10/29, 4, 3, , 6, , 
